央    视,#genre#
NewTV明星大片,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225716/index.m3u8$4M
NewTV农业致富,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225670/index.m3u8$4M
NewTV山东,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226184/index.m3u8$4M
NewTV四川,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226187/index.m3u8$4M
NewTV武搏世界,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225656/index.m3u8$4M
NewTV炫舞未来,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225707/index.m3u8$4M
NewTV怡伴健康,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225666/index.m3u8$4M
NewTV云南,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226188/index.m3u8$4M
NewTV中国功夫,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225660/index.m3u8$4M

咪咕体育（江西移动）,#genre#
五星体育,http://111.40.196.25/PLTV/88888888/224/3221225503/index.m3u8
劲爆体育,https://live.goodiptv.club/api/sxg.php?id=lqhxjcHDH265_4000
新视觉,https://live.goodiptv.club/api/sxg.php?id=ycxsjH265_4000
咪咕体育1,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226235/index.m3u8
咪咕体育2,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226238/index.m3u8
咪咕体育3,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226240/index.m3u8
咪咕体育4,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226241/index.m3u8
咪咕体育5,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226243/index.m3u8

咪咕体育（39.134.66.66）,#genre#
8M-英超01,http://39.134.66.66/PLTV/88888888/224/3221225611/index.m3u8
8M-西甲02,http://39.134.66.66/PLTV/88888888/224/3221225613/index.m3u8
4M-咪咕03,http://39.134.66.66/PLTV/88888888/224/3221225617/index.m3u8
8M-咪咕04,http://39.134.66.66/PLTV/88888888/224/3221225619/index.m3u8
8M-德甲05,http://39.134.66.66/PLTV/88888888/224/3221225620/index.m3u8
4M-咪咕06,http://39.134.66.66/PLTV/88888888/224/3221225639/index.m3u8
4M-咪咕07,http://39.134.66.66/PLTV/88888888/224/3221225641/index.m3u8
4M-咪咕08,http://39.134.66.66/PLTV/88888888/224/3221225643/index.m3u8
4M-咪咕09,http://39.134.66.66/PLTV/88888888/224/3221225645/index.m3u8
4M-德甲10,http://39.134.66.66/PLTV/88888888/224/3221225647/index.m3u8
4M-咪咕11,http://39.134.66.66/PLTV/88888888/224/3221225648/index.m3u8
4M-咪咕12,http://39.134.66.66/PLTV/88888888/224/3221225649/index.m3u8
4M-咪咕13,http://39.134.66.66/PLTV/88888888/224/3221225650/index.m3u8
20M-咪咕14,http://39.134.66.66/PLTV/88888888/224/3221225651/index.m3u8
4M-咪咕15,http://39.134.66.66/PLTV/88888888/224/3221225652/index.m3u8
4M-咪咕16,http://39.134.66.66/PLTV/88888888/224/3221225653/index.m3u8
4M-法甲17,http://39.134.66.66/PLTV/88888888/224/3221225654/index.m3u8
30M-咪咕18,http://39.134.66.66/PLTV/88888888/224/3221225655/index.m3u8
4M-咪咕19,http://39.134.66.66/PLTV/88888888/224/3221225658/index.m3u8
4M-咪咕20,http://39.134.66.66/PLTV/88888888/224/3221225660/index.m3u8
4M-咪咕21,http://39.134.66.66/PLTV/88888888/224/3221225662/index.m3u8
4M-咪咕22,http://39.134.66.66/PLTV/88888888/224/3221225733/index.m3u8
4M-咪咕23,http://39.134.66.66/PLTV/88888888/224/3221225735/index.m3u8
4M-咪咕24,http://39.134.66.66/PLTV/88888888/224/3221225737/index.m3u8
4M-咪咕25,http://39.134.66.66/PLTV/88888888/224/3221225739/index.m3u8
4M-咪咕26,http://39.134.66.66/PLTV/88888888/224/3221225741/index.m3u8
4M-咪咕27,http://39.134.66.66/PLTV/88888888/224/3221225745/index.m3u8
4M-咪咕28,http://39.134.66.66/PLTV/88888888/224/3221225747/index.m3u8
4M-咪咕29,http://39.134.66.66/PLTV/88888888/224/3221225749/index.m3u8
4M-咪咕30,http://39.134.66.66/PLTV/88888888/224/3221225754/index.m3u8
4M-咪咕31,http://39.134.66.66/PLTV/88888888/224/3221225756/index.m3u8
8M-咪咕32,http://39.134.66.66/PLTV/88888888/224/3221225758/index.m3u8
8M-西甲33,http://39.134.66.66/PLTV/88888888/224/3221225760/index.m3u8
4M-咪咕34,http://39.134.66.66/PLTV/88888888/224/3221225762/index.m3u8
4M-咪咕35,http://39.134.66.66/PLTV/88888888/224/3221225764/index.m3u8
4M-咪咕36,http://39.134.66.66/PLTV/88888888/224/3221225766/index.m3u8
4M-咪咕37,http://39.134.66.66/PLTV/88888888/224/3221225768/index.m3u8
4M-咪咕38,http://39.134.66.66/PLTV/88888888/224/3221225782/index.m3u8
8M-意甲39,http://39.134.66.66/PLTV/88888888/224/3221225895/index.m3u8
8M-乒乓球40,http://39.134.66.66/PLTV/88888888/224/3221225897/index.m3u8
4M-网球41,http://39.134.66.66/PLTV/88888888/224/3221225899/index.m3u8
8M-咪咕42,http://39.134.66.66/PLTV/88888888/224/3221225901/index.m3u8
8M-咪咕43,http://39.134.66.66/PLTV/88888888/224/3221225903/index.m3u8
8M-咪咕44,http://39.134.66.66/PLTV/88888888/224/3221225904/index.m3u8
8M-咪咕45,http://39.134.66.66/PLTV/88888888/224/3221225905/index.m3u8
8M-咪咕46,http://39.134.66.66/PLTV/88888888/224/3221225906/index.m3u8
8M-法甲47,http://39.134.66.66/PLTV/88888888/224/3221225910/index.m3u8
8M-咪咕48,http://39.134.66.66/PLTV/88888888/224/3221225912/index.m3u8
8M-咪咕49,http://39.134.66.66/PLTV/88888888/224/3221225914/index.m3u8
8M-英超50,http://39.134.66.66/PLTV/88888888/224/3221226027/index.m3u8
8M-咪咕51,http://39.134.66.66/PLTV/88888888/224/3221226031/index.m3u8
8M-德甲52,http://39.134.66.66/PLTV/88888888/224/3221226046/index.m3u8

咪咕体育（39.135.134.67）,#genre#
8M-英超1,http://39.135.134.67/000000001000/3000000001000028638/index.m3u8
8M-英超2,http://39.135.134.67/000000001000/3000000001000031494/index.m3u8
8M-英超3,http://39.135.134.67/000000001000/3000000001000008176/index.m3u8
8M-英超4,http://39.135.134.34/000000001000/3000000001000010129/index.m3u8
4M-英超5,http://39.135.137.205/000000001000/3000000010000002809/index.m3u8
4M-德甲,http://39.135.134.67/000000001000/3000000001000026778/index.m3u8
4M-法甲,http://39.135.137.205/000000001000/3000000010000004193/index.m3u8
8M-咪咕2,http://39.135.134.67/000000001000/3000000001000008379/index.m3u8
8M-咪咕3,http://39.135.134.67/000000001000/3000000001000008001/index.m3u8
8M-咪咕7,http://39.135.134.67/000000001000/3000000001000010948/index.m3u8
8M-咪咕8,http://39.135.134.67/000000001000/3000000001000007218/index.m3u8
8M-咪咕9,http://39.135.134.67/000000001000/3000000001000005308/index.m3u8
8M-咪咕10,http://39.135.134.67/000000001000/3000000001000005969/index.m3u8
4M-咪咕12,http://39.135.137.203/000000001000/3000000010000027691/index.m3u8
4M-咪咕13,http://39.135.137.203/000000001000/3000000010000015560/index.m3u8
4M-咪咕15,http://39.135.137.206/000000001000/3000000010000000097/index.m3u8
4M-咪咕16,http://39.135.137.205/000000001000/3000000010000006077/index.m3u8
4M-咪咕17,http://39.135.137.203/000000001000/3000000010000012558/index.m3u8
4M-咪咕18,http://39.135.137.208/000000001000/3000000010000023434/index.m3u8
4M-咪咕19,http://39.135.137.203/000000001000/3000000010000003915/index.m3u8
4M-咪咕21,http://39.135.137.205/000000001000/3000000010000021904/index.m3u8
4M-咪咕22,http://39.135.137.207/000000001000/3000000010000011297/index.m3u8
4M-咪咕23,http://39.135.137.208/000000001000/3000000010000006658/index.m3u8
4M-咪咕24,http://39.135.137.205/000000001000/3000000010000010833/index.m3u8
4M-咪咕25,http://39.135.137.203/000000001000/3000000010000025380/index.m3u8
20M-咪咕26,http://39.135.137.209/000000001000/3000000010000015686/index.m3u8
30M-咪咕27,http://39.135.137.208/000000001000/3000000010000005180/index.m3u8
